ProductId,SimulationDate,TY_Start_Date,Unit_TY,ASP_TY,Unit_Forecast,Unit_LY,ASP_LY,TY_StockOut,Total_Day,LY_StockOut,Incoming_Inventory_TY,Inventory_TY,Inventory_LY,FinalROP,ROQ,LostSales,ServiceLevel,SOQ_Realized,SalesRevenue_TY,SalesRevenue_LY,LY_Lost_Sales,TY_Lost_Sales,Total_Day_LY,StoreCount_W,CostOfGoodsSold,Timing,product_id,product_description,product_hierarchy_1_description,product_hierarchy_2_description,product_hierarchy_3_description,product_hierarchy_4_description,product_hierarchy_5_description,product_speed_cluster,size,color,family_is_main,new_product,Profitability
462701,2023-05-21,2023-01-01,15,44.25,,5.0,43.0,68,1134,584.0,8.0,244.0,150.0,0,0,0,,20.0,663.75,215.0,3.374080078,0.532888597,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,642.82
462701,2023-05-21,2023-01-08,17,45.0,,4.0,45.0,53,1134,591.0,19.0,243.0,144.0,0,0,0,,20.0,765.0,180.0,1.752326757,0.469028833,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,744.07
462701,2023-05-21,2023-01-15,8,44.53125,,2.0,45.0,48,1134,550.0,15.0,242.0,139.0,176,0,0,,3.0,356.25,90.0,0.815339656,0.294171971,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,335.32
462701,2023-05-21,2023-01-22,7,44.67857143,,4.0,43.75,57,1134,492.0,1.0,251.0,159.0,176,0,0,,1.0,312.75,175.0,2.463980648,0.325009415,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,291.82
462701,2023-05-21,2023-01-29,7,44.69,,4.0,45.0,52,1134,482.0,51.0,241.0,159.0,178,0,0,,0.0,312.83,180.0,1.744597206,0.900700358,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,291.9
462701,2023-05-21,2022-11-13,6,43.5,,2.0,34.0,407,1134,665.0,0.0,165.0,128.0,0,0,0,,20.0,261.0,68.0,2.300398525,3.767263201,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,240.07
462701,2023-05-21,2022-11-20,4,33.75,,2.0,30.0,431,1134,653.0,0.0,159.0,129.0,0,0,0,,20.0,135.0,60.0,2.020409463,2.453134978,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,114.07
462701,2023-05-21,2022-11-27,2,45.0,,10.0,40.0,419,1134,517.0,15.0,150.0,134.0,0,0,0,,20.0,90.0,400.0,8.231954507,1.862287364,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,69.07
462701,2023-05-21,2022-12-04,12,43.83333333,,19.0,39.75684211,126,1134,456.0,121.0,148.0,206.0,0,0,0,,20.0,526.0,755.38,3.28557595,3.786176694,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,505.07
462701,2023-05-21,2022-12-11,18,45.0,,11.0,39.09090909,43,1134,454.0,18.0,253.0,197.0,0,0,0,,20.0,810.0,430.0,3.091855689,0.446841874,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,789.07
462701,2023-05-21,2022-12-18,19,45.0,,44.0,39.81818182,71,1134,484.0,17.0,255.0,196.0,0,0,0,,20.0,855.0,1752.0,19.64929405,0.396367985,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,834.07
462899,2023-05-21,2022-10-02,23,44.70652174,,7.0,39.42857143,163,1134,609.0,24.0,199.0,131.0,0,0,0,,27.0,1028.25,276.0,4.9264778,3.525963774,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,1007.32
462899,2023-05-21,2022-10-09,22,45.33727273,,12.0,39.83333333,207,1134,660.0,4.0,198.0,131.0,0,0,0,,27.0,997.42,478.0,10.38611881,2.322314625,800.0,162,20.93,Actual,462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0,976.49
